                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6921,                 2.1774,                 1.8949,                0.42726,                0.44883,                0.39056,                0.24313,                 1.4894,                 2.0338,                 1.8498,               0.006733,               0.006733,               0.006733
                     35,                 1.7021,                 2.1816,                 1.9052,                0.40385,                0.42961,                0.37879,                0.21955,                 1.5087,                 2.0351,                  1.837,               0.006634,               0.006634,               0.006634
                     36,                 1.6421,                 2.0162,                 1.8076,                0.40213,                 0.5058,                0.38169,                 0.2377,                 1.4692,                 2.0207,                  1.818,               0.006535,               0.006535,               0.006535
                     37,                 1.6951,                 2.2049,                  1.876,                0.43069,                0.44026,                0.35792,                 0.2007,                 1.5604,                  2.092,                 1.8595,               0.006436,               0.006436,               0.006436
                     38,                 1.6753,                 2.1687,                 1.8546,                0.44882,                0.44495,                0.41685,                0.25554,                 1.4377,                 1.9545,                 1.7857,               0.006337,               0.006337,               0.006337
                     39,                  1.646,                 2.1229,                 1.8565,                 0.4548,                0.47254,                0.42845,                 0.2625,                 1.4287,                 1.8513,                 1.7946,               0.006238,               0.006238,               0.006238
                     40,                 1.6588,                 2.0716,                 1.8465,                0.45719,                0.48316,                0.41902,                0.25738,                 1.4531,                 1.8598,                 1.7845,               0.006139,               0.006139,               0.006139
                     41,                 1.6317,                 2.0636,                 1.8606,                0.41772,                 0.5035,                0.42135,                0.26297,                 1.4099,                 1.9284,                 1.7632,                0.00604,                0.00604,                0.00604
                     42,                 1.6398,                 2.1189,                 1.8356,                0.41409,                0.49957,                0.42888,                0.25928,                 1.4115,                 1.9004,                  1.766,               0.005941,               0.005941,               0.005941
                     43,                 1.5961,                 1.9868,                 1.8184,                0.41129,                0.49441,                0.41101,                0.25743,                  1.387,                 1.8654,                 1.7328,               0.005842,               0.005842,               0.005842
                     44,                   1.55,                 1.9638,                 1.7734,                0.42695,                0.51342,                0.42495,                0.27157,                 1.3688,                 1.8522,                 1.7207,               0.005743,               0.005743,               0.005743
                     45,                 1.5648,                 2.0346,                 1.8022,                 0.4223,                0.49275,                0.37106,                0.23247,                  1.433,                 1.9716,                 1.7729,               0.005644,               0.005644,               0.005644
                     46,                 1.5491,                 2.0115,                 1.7718,                0.42697,                0.48668,                0.43102,                0.27067,                 1.3617,                 1.8433,                 1.7071,               0.005545,               0.005545,               0.005545
                     47,                 1.5703,                 1.9268,                 1.7696,                0.46178,                0.48833,                0.45274,                0.27879,                 1.3511,                 1.7984,                 1.7085,               0.005446,               0.005446,               0.005446
                     48,                 1.5591,                 1.9891,                 1.8303,                0.47259,                0.49685,                0.45931,                0.29276,                 1.3297,                 1.7933,                 1.6869,               0.005347,               0.005347,               0.005347
                     49,                 1.5467,                 2.0386,                 1.7828,                0.48131,                0.53588,                 0.4714,                0.30102,                 1.3127,                 1.7326,                 1.6678,               0.005248,               0.005248,               0.005248
                     50,                 1.5494,                 1.9355,                 1.7673,                0.47863,                0.45231,                0.43048,                0.26488,                 1.3782,                 1.8485,                 1.7405,               0.005149,               0.005149,               0.005149
                     51,                 1.5136,                 1.9332,                  1.739,                0.43029,                0.53182,                0.47435,                0.30709,                 1.3058,                 1.7407,                 1.6741,                0.00505,                0.00505,                0.00505
                     52,                   1.55,                 1.9603,                 1.7726,                0.47282,                0.52181,                0.45204,                0.28611,                 1.3327,                 1.7623,                 1.6815,               0.004951,               0.004951,               0.004951
                     53,                 1.5133,                 1.8634,                 1.7333,                0.44517,                0.50905,                0.47494,                0.29329,                 1.3167,                 1.7641,                 1.6794,               0.004852,               0.004852,               0.004852
                     54,                 1.5272,                 1.8908,                 1.7134,                  0.487,                0.49856,                0.46916,                0.30283,                 1.2937,                 1.7741,                 1.6586,               0.004753,               0.004753,               0.004753
                     55,                 1.4789,                 1.8789,                  1.728,                0.49257,                0.53532,                0.49849,                 0.3257,                 1.3032,                 1.6469,                 1.6565,               0.004654,               0.004654,               0.004654
                     56,                 1.5177,                 1.8895,                 1.7485,                0.51626,                0.53208,                0.51289,                0.33449,                 1.2991,                 1.6446,                 1.6617,               0.004555,               0.004555,               0.004555
                     57,                 1.4669,                 1.8101,                  1.687,                0.48386,                0.53786,                0.49891,                0.32935,                 1.2799,                 1.6381,                 1.6389,               0.004456,               0.004456,               0.004456
                     58,                 1.5001,                  1.814,                 1.7267,                0.48321,                  0.518,                0.48718,                0.32028,                 1.2717,                 1.6853,                 1.6232,               0.004357,               0.004357,               0.004357
                     59,                 1.4862,                 1.9498,                 1.7305,                0.49276,                 0.5473,                0.50918,                0.33573,                 1.2958,                 1.6946,                 1.6396,               0.004258,               0.004258,               0.004258
                     60,                 1.4944,                  1.854,                 1.7328,                 0.5017,                0.52588,                0.50345,                0.33726,                 1.2479,                 1.6002,                 1.6048,               0.004159,               0.004159,               0.004159
                     61,                 1.4583,                 1.8044,                 1.6619,                0.49071,                0.50668,                0.50183,                0.33242,                 1.2682,                 1.6254,                 1.6216,                0.00406,                0.00406,                0.00406
                     62,                 1.4727,                 1.8172,                 1.6846,                0.49254,                0.56538,                0.50198,                0.33791,                 1.2514,                 1.6118,                 1.6111,               0.003961,               0.003961,               0.003961
                     63,                 1.4492,                 1.8128,                 1.6632,                0.51568,                0.54357,                0.52195,                0.34604,                  1.236,                 1.5721,                 1.5919,               0.003862,               0.003862,               0.003862
                     64,                 1.4825,                 1.8739,                 1.7202,                0.50381,                0.56228,                 0.5368,                0.34973,                 1.2482,                 1.5982,                 1.6074,               0.003763,               0.003763,               0.003763
                     65,                 1.4048,                  1.713,                 1.6323,                0.51309,                0.53433,                0.53898,                0.36541,                 1.2247,                 1.5327,                 1.5947,               0.003664,               0.003664,               0.003664
                     66,                 1.4323,                 1.7605,                 1.6772,                0.52286,                0.51859,                0.51556,                0.34507,                 1.2147,                  1.572,                  1.575,               0.003565,               0.003565,               0.003565
                     67,                 1.4278,                 1.7632,                 1.6772,                0.50952,                0.54979,                0.53072,                0.35221,                 1.1851,                 1.5809,                 1.5592,               0.003466,               0.003466,               0.003466
                     68,                  1.397,                 1.7213,                  1.634,                0.49203,                0.57384,                0.54574,                0.36658,                 1.2022,                 1.5147,                 1.5503,               0.003367,               0.003367,               0.003367
                     69,                 1.4018,                 1.7968,                 1.6321,                 0.5095,                0.53844,                0.53087,                0.35041,                 1.2173,                 1.5502,                 1.5776,               0.003268,               0.003268,               0.003268
                     70,                 1.4381,                  1.807,                 1.6828,                0.53941,                0.54316,                0.53871,                0.35867,                 1.2211,                 1.4996,                 1.5724,               0.003169,               0.003169,               0.003169
                     71,                 1.4445,                 1.8277,                 1.7217,                0.49363,                0.55717,                0.53637,                0.35938,                 1.1927,                 1.5162,                  1.547,                0.00307,                0.00307,                0.00307
                     72,                 1.4112,                 1.7485,                 1.6404,                0.53706,                0.56896,                0.55896,                0.37354,                 1.1837,                   1.49,                 1.5472,               0.002971,               0.002971,               0.002971
                     73,                 1.4119,                 1.7078,                 1.6317,                 0.5415,                0.57058,                0.55858,                0.38159,                 1.1819,                   1.48,                 1.5481,               0.002872,               0.002872,               0.002872
                     74,                 1.4107,                 1.6888,                 1.6291,                0.51424,                0.57621,                0.55993,                0.38508,                 1.1977,                 1.4822,                  1.563,               0.002773,               0.002773,               0.002773
                     75,                 1.3899,                 1.6801,                  1.639,                0.50038,                0.59971,                0.55766,                0.37204,                 1.1768,                 1.4758,                 1.5373,               0.002674,               0.002674,               0.002674
                     76,                 1.3743,                 1.6848,                 1.5995,                0.51703,                0.59288,                0.56115,                0.37809,                 1.1766,                 1.4647,                 1.5368,               0.002575,               0.002575,               0.002575
                     77,                 1.4279,                 1.7376,                  1.639,                 0.5319,                0.56577,                0.56279,                0.38226,                 1.1942,                 1.4774,                 1.5548,               0.002476,               0.002476,               0.002476
                     78,                 1.3804,                 1.6822,                 1.6005,                0.50915,                0.59212,                0.56836,                0.38227,                 1.1766,                 1.4639,                 1.5325,               0.002377,               0.002377,               0.002377
                     79,                 1.3698,                 1.6981,                 1.6282,                0.57063,                0.54166,                0.56963,                0.38651,                 1.1655,                 1.4491,                 1.5149,               0.002278,               0.002278,               0.002278
                     80,                  1.387,                 1.6623,                 1.5754,                0.55514,                0.55254,                0.58074,                0.39729,                 1.1445,                 1.4389,                  1.505,               0.002179,               0.002179,               0.002179
                     81,                 1.3343,                 1.5855,                 1.5864,                0.53651,                0.56336,                0.57786,                0.38977,                 1.1374,                  1.427,                 1.4997,                0.00208,                0.00208,                0.00208
